symbol,category,listing_years,annualized_volatility,trigger_zscore,optimal_days,best_rebound_ratio,event_count,total_trading_days,return_mean,return_std,rank
RDOG,Real Estate,18.1,0.1481,3.5,3,1.032,9,2511,1.000095,0.010124,1
GXC,Greater China Region,19.3,0.1924,2.5,3,1.031,14,2511,1.000147,0.012219,2
ECNS,Greater China Region,15.8,0.2103,2.5,3,1.031,11,2511,1.000378,0.012162,3
EPOL,Focused Region,16.1,0.2327,3.0,3,1.029,9,2511,1.000226,0.012174,4
XEG.TO,未分類,25.3,0.2394,2.5,3,1.028,11,2508,1.000925,0.0105,5
KBWP,Financial,15.6,0.1717,3.5,2,1.027,10,2511,1.000983,0.006802,6
RSPG,Equity Energy,19.7,0.2204,3.0,3,1.024,13,2511,1.000899,0.010387,7
FXN,Equity Energy,19.2,0.2342,3.0,2,1.024,9,2511,1.000994,0.010548,8
FLN,Focused Region,15.2,0.2123,3.0,3,1.023,8,2511,1.001346,0.012372,9
EWD,Focused Region,30.3,0.2025,3.0,3,1.023,8,2511,1.000173,0.010732,10
EWW,Focused Region,30.3,0.22,2.5,3,1.022,20,2511,1.000769,0.008231,11
XID.TO,未分類,16.5,0.1492,3.0,2,1.021,10,2508,1.000476,0.00815,12
CWW.TO,未分類,18.7,0.1422,3.0,3,1.021,10,2508,1.000809,0.006062,13
PGJ,Greater China Region,21.6,0.248,3.0,2,1.021,10,2511,1.000532,0.014546,14
NORW,Focused Region,16.9,0.1722,3.5,3,1.02,12,2511,1.000397,0.009927,15
DFJ,Japan Stock,20.1,0.1705,3.0,3,1.02,8,2511,1.000181,0.00831,16
PCEF,Global Moderate Allocation,16.4,0.0901,3.0,3,1.02,9,2511,1.000252,0.003093,17
SBB,Trading--Inverse Equity,19.5,0.1775,3.0,2,1.02,10,2511,0.999649,0.009536,18
REK,Trading--Inverse Equity,16.3,0.143,2.5,3,1.02,18,2511,1.000116,0.006522,19
CSM,Large Blend,17.0,0.1236,3.0,3,1.02,14,2511,1.000353,0.006277,20
RSPS,Consumer Defensive,19.7,0.1441,3.0,3,1.02,8,2511,1.000206,0.003926,21
VTWG,Small Growth,15.8,0.223,3.0,3,1.019,12,2511,1.00102,0.008108,22
SLYV,Small Value,25.8,0.1796,2.5,3,1.019,10,2511,1.000647,0.007005,23
RPV,Mid-Cap Value,20.4,0.1268,3.0,3,1.019,8,2511,1.000323,0.006183,24
ZEO.TO,未分類,16.2,0.1785,3.0,2,1.018,13,2508,1.000861,0.008222,25
MCHI,Greater China Region,15.3,0.2046,2.5,3,1.018,22,2511,1.000207,0.01284,26
IYE,Equity Energy,26.1,0.2046,3.0,2,1.018,9,2511,1.000681,0.009497,27
INDY,India Equity,16.6,0.1446,3.0,1,1.018,9,2511,1.000263,0.008255,28
IXC,Equity Energy,24.6,0.1938,2.5,3,1.018,13,2511,1.000907,0.009262,29
SEF,Trading--Inverse Equity,18.1,0.1462,3.0,3,1.018,9,2511,0.999629,0.007056,30
VIOO,Small Blend,15.8,0.1757,2.5,3,1.017,12,2511,1.000821,0.00691,31
GLIN,India Equity,15.9,0.1822,3.0,2,1.017,8,2511,1.000207,0.010672,32
SPYG,Large Growth,25.8,0.1748,3.0,3,1.017,8,2511,1.000699,0.006718,33
XLY,Consumer Cyclical,27.6,0.1867,3.0,3,1.017,8,2511,1.000509,0.0077,34
XLU,Utilities,27.6,0.1489,2.5,3,1.017,14,2511,1.000356,0.004338,35
CNDD.TO,未分類,19.1,0.2415,3.0,3,1.016,10,2508,0.999248,0.009974,36
XIU.TO,未分類,26.8,0.1208,2.5,3,1.016,20,2508,1.000505,0.00462,37
IWN,Small Value,26.0,0.1764,2.5,3,1.016,16,2511,1.000737,0.006984,38
RFV,Small Value,20.4,0.1745,2.0,3,1.016,31,2511,1.000833,0.008535,39
XMHQ,Mid-Cap Blend,19.6,0.157,2.5,3,1.016,12,2511,1.001226,0.008081,40
DDM,Trading--Leveraged Equity,20.1,0.2462,2.5,3,1.016,15,2511,1.000743,0.011311,41
IWO,Small Growth,26.0,0.2215,3.5,2,1.016,8,2511,1.000669,0.007735,42
SPTM,Large Blend,25.8,0.1251,3.0,3,1.015,8,2511,1.000697,0.005872,43
EQL,Large Value,17.0,0.0951,2.5,3,1.015,24,2511,1.000854,0.006028,44
VOO,Large Blend,15.8,0.1251,3.0,3,1.015,8,2511,1.000536,0.005756,45
SPXI.TO,未分類,16.2,0.1295,3.0,3,1.015,8,2508,0.999437,0.006615,46
BMVP,Mid-Cap Blend,23.2,0.0975,3.0,3,1.015,12,2511,1.000046,0.008052,47
HDGE,Trading--Inverse Equity,15.5,0.1847,3.0,2,1.015,9,2511,0.999646,0.006795,48
FXI,Greater China Region,21.8,0.201,3.0,3,1.015,12,2511,0.999949,0.013197,49
VV,Large Blend,22.5,0.1268,3.5,2,1.015,9,2511,1.000551,0.005815,50
IYG,Financial,26.1,0.1574,3.0,3,1.015,10,2511,1.000388,0.007551,51
VTWO,Small Blend,15.8,0.1946,2.5,3,1.015,16,2511,1.000756,0.007465,52
IWM,Small Blend,26.1,0.1951,2.5,3,1.015,13,2511,1.000675,0.007368,53
VOT,Mid-Cap Growth,19.9,0.1705,3.0,3,1.015,9,2511,1.000688,0.006716,54
VTWV,Small Value,15.8,0.1801,2.5,3,1.014,11,2511,1.000713,0.007343,55
CIF.TO,未分類,17.5,0.1568,3.0,3,1.014,8,2508,1.001827,0.007309,56
SCHX,Large Blend,16.7,0.1266,3.0,2,1.014,10,2511,1.000455,0.005797,57
FDL,Large Value,20.3,0.1167,3.0,3,1.014,9,2511,1.000432,0.004501,58
TBT,Trading--Inverse Debt,18.1,0.1896,2.5,2,1.014,17,2511,1.000599,0.012809,59
FDD,Europe Stock,18.9,0.1603,2.5,3,1.014,16,2511,1.000329,0.008596,60
