symbol,category,original_rank,trigger_zscore,optimal_days,best_rebound_ratio,today_date,today_return,z_today,distance
VIXM,Trading--Miscellaneous,1,2,3,1.028,2026-07-13,1.0049,0.36,2.357
SPXS,Trading--Inverse Equity,2,2,1,1.0263,2026-07-13,1.0101,0.49,2.495
SPXU,Trading--Inverse Equity,3,2,1,1.0257,2026-07-13,1.01,0.49,2.491
ITM,Muni National Interm,4,2,3,1.0226,2026-07-13,1.0002,-0.0,1.999
CFOD.TO,未分類,5,2,3,1.0223,2026-07-13,1.0065,0.44,2.438
SZK,Trading--Inverse Equity,6,2,2,1.0218,2026-07-13,0.9842,-0.9,1.095
XID.TO,未分類,7,2,2,1.0209,2026-07-13,0.9941,-0.62,1.38
EEV,Trading--Inverse Equity,8,2,2,1.0209,2026-07-13,1.0518,2.38,4.383
DXD,Trading--Inverse Equity,9,2,2,1.0202,2026-07-13,1.0006,0.07,2.073
EWZ,Focused Region,10,2,1,1.0197,2026-07-13,0.9969,-0.24,1.765
SDD,Trading--Inverse Equity,11,2,2,1.0184,2026-07-13,1.0096,0.5,2.5
CNDD.TO,未分類,12,2,1,1.0184,2026-07-13,1.0009,0.1,2.101
PPLT,Commodities Focused,13,2,3,1.0181,2026-07-13,0.9953,-0.36,1.645
SKF,Trading--Inverse Equity,14,2,2,1.018,2026-07-13,0.9863,-0.76,1.237
SDS,Trading--Inverse Equity,15,2,1,1.0179,2026-07-13,1.0065,0.47,2.468
UBT,Trading--Leveraged Debt,16,2,2,1.0178,2026-07-13,0.9904,-0.66,1.337
HUZ.TO,未分類,17,2,3,1.0176,2026-07-13,0.9823,-1.11,0.888
CEW.TO,未分類,18,2,1,1.0175,2026-07-13,0.9992,-0.15,1.851
EPHE,Focused Region,19,2,1,1.0172,2026-07-13,0.9929,-0.67,1.325
XEG.TO,未分類,20,2,1,1.0171,2026-07-13,1.0139,0.95,2.947
SRS,Trading--Inverse Equity,21,2,3,1.0162,2026-07-13,0.9924,-0.55,1.446
LTL,Trading--Leveraged Equity,22,2,3,1.0158,2026-07-13,0.9915,-0.43,1.572
MCHI,Greater China Region,23,2,2,1.0156,2026-07-13,0.9925,-0.54,1.459
SIJ,Trading--Inverse Equity,24,2,2,1.0156,2026-07-13,1.02,0.91,2.914
GXC,Greater China Region,25,2,2,1.0155,2026-07-13,0.9926,-0.56,1.443
IMVP,未分類,26,2,2,1.0151,2026-07-13,1.0065,0.61,2.609
DUG,Trading--Inverse Equity,27,2,3,1.0151,2026-07-13,0.9738,-1.16,0.842
INDY,India Equity,28,2,1,1.015,2026-07-13,0.9954,-0.47,1.528
GLCC.TO,未分類,29,2,3,1.0149,2026-07-13,0.9871,-1.17,0.832
GDXJ,Equity Precious Metals,30,2,2,1.0146,2026-07-13,0.9808,-1.23,0.765
SIVR,Commodities Focused,31,2,3,1.014,2026-07-13,0.9818,-1.22,0.776
SLV,Commodities Focused,32,2,3,1.0139,2026-07-13,0.9815,-1.24,0.757
ILF,Focused Region,33,2,1,1.0138,2026-07-13,0.9965,-0.33,1.668
CQQQ,Greater China Region,34,2,3,1.0138,2026-07-13,0.9642,-2.16,0.162
BAB,Muni National Long,35,2,3,1.0135,2026-07-13,0.9985,-0.44,1.563
PSLV,未分類,36,2,3,1.0132,2026-07-13,0.9833,-1.18,0.82
XCH.TO,未分類,37,2,2,1.0131,2026-07-13,1.0018,0.1,2.105
CNCC.TO,未分類,38,2,1,1.0126,2026-07-13,1.0041,0.34,2.343
REM,Real Estate,39,2,1,1.0125,2026-07-13,0.9991,-0.2,1.802
GLIN,India Equity,40,2,1,1.0122,2026-07-13,0.9954,-0.38,1.618
UCC,Trading--Leveraged Equity,41,2,3,1.0122,2026-07-13,0.9762,-1.14,0.861
XRE.TO,未分類,42,2,1,1.012,2026-07-13,0.9988,-0.15,1.852
FXP,Trading--Inverse Equity,43,2,1,1.0119,2026-07-13,0.9864,-0.48,1.518
SEF,Trading--Inverse Equity,44,2,1,1.0118,2026-07-13,0.9934,-0.66,1.335
ZEO.TO,未分類,45,2,1,1.0118,2026-07-13,1.0158,1.37,3.369
ECNS,Greater China Region,46,2,2,1.0117,2026-07-13,0.9822,-1.34,0.657
REMX,Natural Resources,47,2,2,1.0117,2026-07-13,0.9735,-1.84,0.16
UGL,Trading--Leveraged Commodities,48,2,2,1.0116,2026-07-13,0.9775,-1.49,0.511
REK,Trading--Inverse Equity,49,2,3,1.0113,2026-07-13,0.9948,-0.67,1.331
PSI,Technology,50,2,2,1.0111,2026-07-13,0.9679,-2.54,0.545
ARGT,Focused Region,51,2,1,1.0111,2026-07-13,0.9986,-0.2,1.799
TWM,Trading--Inverse Equity,52,2,1,1.011,2026-07-13,1.007,0.44,2.439
EWA,Focused Region,53,2,1,1.0109,2026-07-13,1.0014,0.11,2.109
EWV,Trading--Inverse Equity,54,2,3,1.0107,2026-07-13,1.0301,1.56,3.56
ECH,Focused Region,55,2,2,1.0106,2026-07-13,0.9915,-0.86,1.142
XPP,Trading--Leveraged Equity,56,2,1,1.0105,2026-07-13,1.0084,0.29,2.29
EWM,Focused Region,57,2,1,1.0105,2026-07-13,1.0069,0.85,2.848
SH,Trading--Inverse Equity,58,2,1,1.0105,2026-07-13,1.0031,0.45,2.446
BRF,Focused Region,59,2,1,1.0105,2026-07-13,0.9858,-1.01,0.992
GLDU.TO,未分類,60,2,2,1.0104,2026-07-13,0.976,-1.55,0.454
XSD,Technology,61,2,2,1.0102,2026-07-13,0.9743,-2.11,0.106
UGE,Trading--Leveraged Equity,62,2,3,1.0102,2026-07-13,1.0168,1.0,3.002
BIS,Trading--Inverse Equity,63,2,2,1.0102,2026-07-13,1.034,2.17,4.169
OIH,Equity Energy,64,2,1,1.0101,2026-07-13,1.0086,0.51,2.51
COPX,Natural Resources,65,2,1,1.0101,2026-07-13,0.9894,-0.83,1.168
PSCE,Equity Energy,66,2,2,1.01,2026-07-13,1.0138,0.82,2.82
DBEM,Diversified Emerging Mkts,67,2,1,1.01,2026-07-13,0.9677,-3.46,1.46
EUM,Trading--Inverse Equity,68,2,2,1.0099,2026-07-13,1.0265,2.39,4.389
