symbol,category,original_rank,trigger_zscore,optimal_days,best_rebound_ratio,today_date,today_return,z_today,distance,current_return,z_now
RDOG,Real Estate,1,3.5,3,1.032,2026-07-14,0.999,-0.08,3.419,0.999,-0.09
GXC,Greater China Region,2,2.5,3,1.031,2026-07-14,1.015,1.24,3.74,1.013,1.08
ECNS,Greater China Region,3,2.5,3,1.031,2026-07-14,1.023,1.82,4.322,1.018,1.44
EPOL,Focused Region,4,3.0,3,1.029,2026-07-14,1.012,0.96,3.963,1.015,1.25
XEG.TO,未分類,5,2.5,3,1.028,2026-07-14,1.008,0.72,3.218,0.99,-1.0
KBWP,Financial,6,3.5,2,1.027,2026-07-14,1.005,0.53,4.032,0.981,-2.98
RSPG,Equity Energy,7,3.0,3,1.024,2026-07-14,1.006,0.54,3.538,1.006,0.45
FXN,Equity Energy,8,3.0,2,1.024,2026-07-14,1.008,0.67,3.67,1.002,0.11
FLN,Focused Region,9,3.0,3,1.023,2026-07-14,1.014,1.04,4.036,1.015,1.08
EWD,Focused Region,10,3.0,3,1.023,2026-07-14,1.012,1.07,4.073,1.007,0.62
EWW,Focused Region,11,2.5,3,1.022,2026-07-14,1.007,0.74,3.242,1.016,1.86
XID.TO,未分類,12,3.0,2,1.021,2026-07-14,0.99,-1.23,1.765,0.99,-1.32
CWW.TO,未分類,13,3.0,3,1.021,2026-07-14,0.999,-0.35,2.648,0.995,-0.96
PGJ,Greater China Region,14,3.0,2,1.021,2026-07-14,1.004,0.23,3.225,0.998,-0.14
NORW,Focused Region,15,3.5,3,1.02,2026-07-14,1.012,1.18,4.683,1.016,1.58
DFJ,Japan Stock,16,3.0,3,1.02,2026-07-14,1.014,1.71,4.713,1.008,0.98
PCEF,Global Moderate Allocation,17,3.0,3,1.02,2026-07-14,0.999,-0.4,2.6,1.002,0.6
SBB,Trading--Inverse Equity,18,3.0,2,1.02,2026-07-14,1.0,-0.0,3.0,0.998,-0.18
REK,Trading--Inverse Equity,19,2.5,3,1.02,2026-07-14,0.999,-0.12,2.383,1.005,0.78
CSM,Large Blend,20,3.0,3,1.02,2026-07-14,1.002,0.28,3.277,1.001,0.08
RSPS,Consumer Defensive,21,3.0,3,1.02,2026-07-14,0.997,-0.8,2.199,0.986,-3.71
VTWG,Small Growth,22,3.0,3,1.019,2026-07-14,1.009,1.03,4.033,1.007,0.78
SLYV,Small Value,23,2.5,3,1.019,2026-07-14,1.005,0.68,3.175,1.002,0.13
RPV,Mid-Cap Value,24,3.0,3,1.019,2026-07-14,1.002,0.2,3.195,0.997,-0.48
ZEO.TO,未分類,25,3.0,2,1.018,2026-07-14,1.004,0.42,3.417,0.997,-0.41
MCHI,Greater China Region,26,2.5,3,1.018,2026-07-14,1.017,1.29,3.789,1.013,1.02
IYE,Equity Energy,27,3.0,2,1.018,2026-07-14,1.005,0.42,3.417,1.004,0.33
INDY,India Equity,28,3.0,1,1.018,2026-07-14,0.995,-0.65,2.349,0.997,-0.43
IXC,Equity Energy,29,2.5,3,1.018,2026-07-14,1.006,0.6,3.101,1.004,0.33
SEF,Trading--Inverse Equity,30,3.0,3,1.018,2026-07-14,0.991,-1.22,1.779,0.997,-0.32
VIOO,Small Blend,31,2.5,3,1.017,2026-07-14,1.007,0.83,3.329,1.003,0.29
GLIN,India Equity,32,3.0,2,1.017,2026-07-14,0.998,-0.16,2.836,1.0,0.02
SPYG,Large Growth,33,3.0,3,1.017,2026-07-14,1.006,0.74,3.74,1.011,1.48
XLY,Consumer Cyclical,34,3.0,3,1.017,2026-07-14,1.0,-0.1,2.9,0.999,-0.22
XLU,Utilities,35,2.5,3,1.017,2026-07-14,1.005,0.98,3.477,0.999,-0.23
CNDD.TO,未分類,36,3.0,3,1.016,2026-07-14,1.003,0.35,3.347,0.997,-0.2
XIU.TO,未分類,37,2.5,3,1.016,2026-07-14,0.999,-0.36,2.144,1.001,0.1
IWN,Small Value,38,2.5,3,1.016,2026-07-14,1.004,0.52,3.02,0.999,-0.22
RFV,Small Value,39,2.0,3,1.016,2026-07-14,1.008,0.84,2.839,1.004,0.4
XMHQ,Mid-Cap Blend,40,2.5,3,1.016,2026-07-14,1.003,0.22,2.722,1.003,0.21
DDM,Trading--Leveraged Equity,41,2.5,3,1.016,2026-07-14,0.995,-0.49,2.005,1.0,-0.07
IWO,Small Growth,42,3.5,2,1.016,2026-07-14,1.008,1.01,4.509,1.008,0.93
SPTM,Large Blend,43,3.0,3,1.015,2026-07-14,1.003,0.42,3.424,1.004,0.5
EQL,Large Value,44,2.5,3,1.015,2026-07-14,1.003,0.35,2.846,1.001,-0.01
VOO,Large Blend,45,3.0,3,1.015,2026-07-14,1.002,0.34,3.338,1.004,0.56
SPXI.TO,未分類,46,3.0,3,1.015,2026-07-14,0.999,-0.09,2.911,0.998,-0.26
BMVP,Mid-Cap Blend,47,3.0,3,1.015,2026-07-14,0.994,-0.76,2.235,0.994,-0.78
HDGE,Trading--Inverse Equity,48,3.0,2,1.015,2026-07-14,1.003,0.52,3.516,1.005,0.79
FXI,Greater China Region,49,3.0,3,1.015,2026-07-14,1.016,1.18,4.182,1.01,0.75
VV,Large Blend,50,3.5,2,1.015,2026-07-14,1.002,0.25,3.749,1.004,0.55
IYG,Financial,51,3.0,3,1.015,2026-07-14,0.995,-0.73,2.272,1.006,0.79
VTWO,Small Blend,52,2.5,3,1.015,2026-07-14,1.007,0.81,3.314,1.004,0.43
IWM,Small Blend,53,2.5,3,1.015,2026-07-14,1.007,0.84,3.338,1.004,0.38
VOT,Mid-Cap Growth,54,3.0,3,1.015,2026-07-14,1.006,0.82,3.822,1.004,0.5
VTWV,Small Value,55,2.5,3,1.014,2026-07-14,1.007,0.84,3.337,1.0,-0.13
