symbol,category,original_rank,trigger_zscore,optimal_days,best_rebound_ratio,yesterday_date,yesterday_return,z_yesterday,distance
XSVM,Small Value,1,-3.5,3,1.04,2026-07-15,1.0089,0.8,4.295
VTWG,Small Growth,2,-3.5,3,1.0377,2026-07-15,0.9974,-0.18,3.324
FNY,Mid-Cap Growth,3,-3.5,3,1.0364,2026-07-15,0.9976,-0.18,3.32
XEG.TO,商品原物料(加拿大能源類股),4,-3.0,3,1.035,2026-07-15,0.9923,-0.52,2.483
PBW,Small Growth,5,-3.0,3,1.0329,2026-07-15,0.9901,-0.44,2.555
HUN.TO,商品原物料(天然氣),6,-3.5,3,1.0307,2026-07-15,0.9986,-0.09,3.414
XMMO,Mid-Cap Blend,7,-3.5,3,1.0283,2026-07-15,0.9941,-0.53,2.972
PNQI,Large Growth,8,-3.5,3,1.0274,2026-07-15,1.0128,1.01,4.515
CIF.TO,基礎建設(全球),9,-3.0,3,1.0251,2026-07-15,0.9926,-0.77,2.227
ZCH.TO,單一國家或區域股票(中國),10,-3.5,3,1.025,2026-07-15,1.0193,1.75,5.255
RZG,Small Growth,11,-3.5,3,1.0242,2026-07-15,1.0003,0.04,3.537
IWO,Small Growth,12,-3.5,3,1.0238,2026-07-15,0.9992,-0.05,3.451
FAD,Mid-Cap Growth,13,-3.0,3,1.0232,2026-07-15,0.9907,-0.94,2.059
XGD.TO,商品原物料(全球黃金股),14,-3.5,3,1.023,2026-07-15,0.9972,-0.17,3.334
XCH.TO,單一國家或區域股票(中國),15,-3.0,2,1.0228,2026-07-15,1.0035,0.49,3.49
SLYV,Small Value,16,-2.5,3,1.0218,2026-07-15,1.0034,0.32,2.823
RWL,Large Value,17,-3.5,3,1.0218,2026-07-15,1.0002,0.03,3.529
RZV,Small Value,18,-3.0,3,1.0218,2026-07-15,0.9947,-0.41,2.59
EPS,Large Value,19,-3.5,3,1.0211,2026-07-15,0.9999,-0.02,3.484
FTA,Mid-Cap Value,20,-3.5,3,1.0202,2026-07-15,0.9973,-0.31,3.19
ISCV,Small Value,21,-3.0,3,1.02,2026-07-15,0.9978,-0.18,2.82
FAB,Mid-Cap Value,22,-3.0,3,1.0197,2026-07-15,0.9973,-0.33,2.668
ZMT.TO,商品原物料(全球基本金屬避險),23,-3.5,2,1.0197,2026-07-15,0.9852,-1.22,2.279
XEM.TO,單一國家或區域股票(新興市場),24,-3.0,3,1.0195,2026-07-15,0.9928,-1.25,1.752
SPVM,Mid-Cap Value,25,-3.0,3,1.0192,2026-07-15,0.9997,-0.02,2.983
VBR,Small Value,26,-3.0,3,1.0191,2026-07-15,1.0017,0.2,3.203
UPGD,Mid-Cap Blend,27,-2.5,3,1.0189,2026-07-15,1.0003,0.03,2.529
ZQQ.TO,美股廣泛指數(Nasdaq100避險),28,-3.5,2,1.0187,2026-07-15,0.9921,-0.75,2.748
GLCC.TO,商品原物料(黃金生產商備兌買權),29,-3.5,3,1.0185,2026-07-15,0.9907,-0.53,2.968
FDL,Large Value,30,-3.0,3,1.0181,2026-07-15,1.0044,0.59,3.59
RFG,Mid-Cap Growth,31,-2.5,3,1.018,2026-07-15,0.9914,-0.89,1.607
FPX,Mid-Cap Growth,32,-2.5,3,1.0175,2026-07-15,0.9828,-1.45,1.055
MDYV,Mid-Cap Value,33,-3.0,3,1.017,2026-07-15,0.9995,-0.03,2.969
VIOV,Small Value,34,-2.5,3,1.0167,2026-07-15,1.0037,0.37,2.865
VTWV,Small Value,35,-3.0,3,1.0167,2026-07-15,1.0026,0.26,3.26
IWC,Small Blend,36,-2.5,3,1.0167,2026-07-15,0.9951,-0.38,2.12
FDM,Small Value,37,-3.5,3,1.0165,2026-07-15,1.0011,0.14,3.642
RWK,Mid-Cap Value,38,-2.5,3,1.0161,2026-07-15,1.0014,0.18,2.678
SDY,Mid-Cap Value,39,-3.0,3,1.0161,2026-07-15,0.9963,-0.51,2.49
ZCN.TO,加拿大廣泛股票指數(TSX綜合指數),40,-3.5,3,1.0161,2026-07-15,1.0011,0.19,3.687
PRFZ,Small Blend,41,-2.5,3,1.016,2026-07-15,1.0002,0.03,2.527
SPHQ,Large Blend,42,-3.0,3,1.0158,2026-07-15,0.9866,-1.79,1.209
CEW.TO,加拿大金融股(銀行保險等權重),43,-3.0,3,1.0157,2026-07-15,1.0165,2.26,5.265
IMCV,Mid-Cap Value,44,-3.0,3,1.0157,2026-07-15,0.9942,-0.68,2.32
HUC.TO,商品原物料(原油),45,-2.5,1,1.0152,2026-07-15,0.9943,-0.47,2.029
BMVP,Mid-Cap Blend,46,-3.0,3,1.0151,2026-07-15,1.0047,0.63,3.63
RFV,Small Value,47,-2.5,3,1.015,2026-07-15,0.9955,-0.39,2.109
ISCG,Small Growth,48,-3.5,3,1.0148,2026-07-15,0.9934,-0.51,2.989
IJS,Small Value,49,-2.5,3,1.0145,2026-07-15,1.0033,0.31,2.807
XSU.TO,美股廣泛指數(美國小型股避險),50,-2.5,2,1.0145,2026-07-15,1.0024,0.24,2.737
IWY,Large Growth,51,-2.5,3,1.0142,2026-07-15,0.9988,-0.13,2.373
PFM,Large Value,52,-3.5,3,1.0141,2026-07-15,0.9975,-0.4,3.101
IWN,Small Value,53,-2.0,3,1.0141,2026-07-15,1.0046,0.46,2.459
GRPM,Small Blend,54,-2.0,3,1.014,2026-07-15,1.0022,0.27,2.271
IJK,Mid-Cap Growth,55,-2.0,3,1.0139,2026-07-15,0.9956,-0.45,1.555
FYT,Small Value,56,-3.0,3,1.0138,2026-07-15,1.0056,0.53,3.527
IJR,Small Blend,57,-2.5,3,1.0137,2026-07-15,1.0034,0.34,2.836
DVY,Mid-Cap Value,58,-2.0,3,1.0134,2026-07-15,1.0006,0.06,2.057
