symbol,listing_years
VTWV,15.8
UUP,19.4
DBP,19.5
UCC,19.4
VIG,20.2
SCHO,15.9
VOX,21.8
DBEM,15.1
EFZ,18.7
EUM,18.7
RZV,20.4
VPL,21.3
IWN,26.0
EES,19.4
SGOL,16.8
RTH,25.2
CORN,16.1
PSCH,16.3
ECH,18.6
DBC,20.4
EWO,30.3
MBB,19.3
DIG,19.4
SCHP,15.9
CURE,15.1
TLT,24.0
SRS,19.4
VONV,15.8
VNQ,21.8
IMVP,18.4
RWK,18.3
FPX,20.1
IGSB,19.5
RSPD,19.7
CQQQ,16.5
IWP,24.9
PXH,18.8
EWC,30.3
MVV,20.1
IMCG,22.0
SPGP,15.1
BKF,18.6
PIZ,18.5
EPV,17.1
CUT,18.7
UBR,16.2
SPYV,25.8
SPEU,23.7
DFE,20.1
PRF,20.6
IWR,24.9
SPXU,17.0
DON,20.1
EWT,26.1
XTL,15.5
GCC,18.5
SZK,19.4
SCHM,15.5
EZA,23.4
EDIV,15.4
VCSH,16.6
MLN,18.5
VIS,21.8
XLK,27.6
IOO,25.6
PGF,19.6
IXJ,24.6
USL,18.6
IWY,16.8
IDV,19.1
FXH,19.2
XLU,27.6
IJH,26.1
VCIT,16.6
USCI,15.9
EPHE,15.8
SOXS,16.3
DXD,20.0
ACWI,18.3
VCLT,16.6
MNA,16.7
AFK,18.0
VONG,15.8
SUSA,21.5
DTRE,18.9
VYM,19.7
BKLN,15.4
FNY,15.2
CZA,19.3
STPZ,16.9
USRT,19.2
AOM,17.7
IGF,18.6
TMV,17.2
HYS,15.1
GBF,19.5
KBE,20.7
VGSH,16.6
PSCF,16.3
BWZ,17.4
DOG,20.1
VIOV,15.8
IDGT,24.9
SLX,19.7
PRFZ,19.8
RZG,20.4
UYG,19.4
JPXN,24.7
FXN,19.2
DBJP,15.1
EWA,30.3
IXC,24.6
IYJ,26.0
IWL,16.8
CMF,18.8
SPDW,19.2
PUI,20.7
VBK,22.5
IWV,26.1
UGE,19.4
RSPH,19.7
FEX,19.2
